Wavelength (A)	Intensity [J/eV/sr/cm^2]
 5.87822E+00	 3.94311E-06
 5.87845E+00	 4.85840E-06
 5.87868E+00	 5.77380E-06
 5.87891E+00	 6.43643E-06
 5.87914E+00	 6.74167E-06
 5.87937E+00	 7.04686E-06
 5.87960E+00	 7.09797E-06
 5.87983E+00	 7.09832E-06
 5.88006E+00	 7.24713E-06
 5.88029E+00	 7.85768E-06
 5.88052E+00	 8.46756E-06
 5.88075E+00	 1.04838E-05
 5.88098E+00	 1.32291E-05
 5.88121E+00	 1.57113E-05
 5.88144E+00	 1.47969E-05
 5.88167E+00	 1.38825E-05
 5.88190E+00	 1.69747E-05
 5.88213E+00	 2.42975E-05
 5.88236E+00	 3.16209E-05
 5.88259E+00	 3.94922E-05
 5.88282E+00	 4.74277E-05
 5.88305E+00	 5.78662E-05
 5.88328E+00	 7.37315E-05
 5.88351E+00	 8.95875E-05
 5.88374E+00	 1.19958E-04
 5.88397E+00	 1.21328E-04
 5.88420E+00	 1.23206E-04
 5.88443E+00	 1.27488E-04
 5.88466E+00	 1.30612E-04
 5.88489E+00	 1.32512E-04
 5.88512E+00	 1.46991E-04
 5.88535E+00	 1.67932E-04
 5.88558E+00	 1.91008E-04
 5.88581E+00	 2.10753E-04
 5.88604E+00	 2.13110E-04
 5.88627E+00	 1.92513E-04
 5.88650E+00	 1.79775E-04
 5.88673E+00	 1.93763E-04
 5.88696E+00	 1.90381E-04
 5.88719E+00	 1.75580E-04
 5.88742E+00	 1.56764E-04
 5.88765E+00	 1.36956E-04
 5.88788E+00	 1.19741E-04
 5.88811E+00	 1.02058E-04
 5.88834E+00	 8.11037E-05
 5.88857E+00	 5.94164E-05
 5.88880E+00	 5.49257E-05
 5.88903E+00	 5.81438E-05
 5.88925E+00	 6.13870E-05
 5.88948E+00	 4.83251E-05
 5.88971E+00	 3.66246E-05
 5.88994E+00	 2.86660E-05
 5.89017E+00	 2.59394E-05
 5.89040E+00	 2.32106E-05
 5.89063E+00	 4.65771E-05
 5.89086E+00	 7.94355E-05
 5.89109E+00	 1.10315E-04
 5.89132E+00	 1.18735E-04
 5.89155E+00	 1.28860E-04
 5.89178E+00	 1.34261E-04
 5.89201E+00	 1.32901E-04
 5.89224E+00	 1.31452E-04
 5.89247E+00	 1.34606E-04
 5.89270E+00	 1.44018E-04
 5.89293E+00	 1.55621E-04
 5.89316E+00	 1.90579E-04
 5.89339E+00	 2.36926E-04
 5.89362E+00	 2.80670E-04
 5.89385E+00	 2.89654E-04
 5.89408E+00	 2.89298E-04
 5.89431E+00	 2.65069E-04
 5.89454E+00	 2.36927E-04
 5.89477E+00	 2.09042E-04
 5.89500E+00	 1.94613E-04
 5.89523E+00	 1.87640E-04
 5.89546E+00	 1.75774E-04
 5.89569E+00	 1.60292E-04
 5.89592E+00	 1.45004E-04
 5.89615E+00	 1.42422E-04
 5.89638E+00	 1.34817E-04
 5.89661E+00	 1.26845E-04
 5.89684E+00	 1.22054E-04
 5.89707E+00	 1.18181E-04
 5.89730E+00	 1.07898E-04
 5.89753E+00	 8.91508E-05
 5.89776E+00	 7.05580E-05
 5.89799E+00	 6.90299E-05
 5.89822E+00	 7.11940E-05
 5.89845E+00	 7.17828E-05
 5.89868E+00	 7.25593E-05
 5.89891E+00	 7.34744E-05
 5.89914E+00	 9.24511E-05
 5.89937E+00	 1.29785E-04
 5.89960E+00	 1.67109E-04
 5.89983E+00	 1.88652E-04
 5.90005E+00	 2.08556E-04
 5.90028E+00	 2.18593E-04
 5.90051E+00	 1.93924E-04
 5.90074E+00	 1.69428E-04
 5.90097E+00	 1.67754E-04
 5.90120E+00	 1.86320E-04
 5.90143E+00	 2.05657E-04
 5.90166E+00	 1.77762E-04
 5.90189E+00	 1.40639E-04
 5.90212E+00	 1.12850E-04
 5.90235E+00	 1.14861E-04
 5.90258E+00	 1.16975E-04
 5.90281E+00	 1.28628E-04
 5.90304E+00	 1.51118E-04
 5.90327E+00	 1.76069E-04
 5.90350E+00	 1.85957E-04
 5.90373E+00	 1.93059E-04
 5.90396E+00	 2.05506E-04
 5.90419E+00	 2.20282E-04
 5.90442E+00	 2.33750E-04
 5.90465E+00	 2.30882E-04
 5.90488E+00	 2.17923E-04
 5.90511E+00	 1.92642E-04
 5.90534E+00	 1.68998E-04
 5.90557E+00	 1.46955E-04
 5.90580E+00	 1.38844E-04
 5.90603E+00	 1.50097E-04
 5.90626E+00	 1.59837E-04
 5.90649E+00	 1.62428E-04
 5.90672E+00	 1.60848E-04
 5.90695E+00	 1.50943E-04
 5.90718E+00	 1.55303E-04
 5.90741E+00	 1.65980E-04
 5.90764E+00	 1.75400E-04
 5.90787E+00	 1.48969E-04
 5.90810E+00	 1.25176E-04
 5.90833E+00	 1.14981E-04
 5.90856E+00	 1.13303E-04
 5.90879E+00	 1.10065E-04
 5.90902E+00	 9.20170E-05
 5.90925E+00	 7.06633E-05
