#  Date and Time of Calculation:  ************************
#  Number of Photon Energies =       200
# --------------------------------------------------------------------
#  INCIDENT SPECTRUM:                   at time =   0.0000E+00
#  Surface:   Foil,  Surface index = ***
#    Total Flux (J/cm2/s) =   8.9510E+11     Drive Temperature (eV) =  5.4318E+01
#
#    hv (eV)  flux(J/cm2/s/eV)
#
    1.00000E-02    2.74288E+01
    1.07189E-02    3.15141E+01
    1.14895E-02    3.62079E+01
    1.23155E-02    4.16008E+01
    1.32009E-02    4.77971E+01
    1.41499E-02    5.49158E+01
    1.51672E-02    6.30954E+01
    1.62576E-02    7.24929E+01
    1.74263E-02    8.32892E+01
    1.86791E-02    9.56942E+01
    2.00220E-02    1.09947E+02
    2.14614E-02    1.26322E+02
    2.30043E-02    1.45136E+02
    2.46581E-02    1.66752E+02
    2.64308E-02    1.91586E+02
    2.83310E-02    2.20120E+02
    3.03677E-02    2.52902E+02
    3.25509E-02    2.90567E+02
    3.48910E-02    3.33840E+02
    3.73994E-02    3.83558E+02
    4.00881E-02    4.40679E+02
    4.29700E-02    5.06304E+02
    4.60592E-02    5.81703E+02
    4.93705E-02    6.68330E+02
    5.29198E-02    7.67855E+02
    5.67243E-02    8.82198E+02
    6.08022E-02    1.01356E+03
    6.51734E-02    1.16449E+03
    6.98588E-02    1.33789E+03
    7.48810E-02    1.53710E+03
    8.02643E-02    1.76597E+03
    8.60346E-02    2.02891E+03
    9.22198E-02    2.33099E+03
    9.88496E-02    2.67804E+03
    1.05956E-01    3.07674E+03
    1.13573E-01    3.53477E+03
    1.21738E-01    4.06099E+03
    1.30490E-01    4.66552E+03
    1.39871E-01    5.36001E+03
    1.49927E-01    6.15788E+03
    1.60705E-01    7.07439E+03
    1.72259E-01    8.12736E+03
    1.84642E-01    9.33683E+03
    1.97917E-01    1.07264E+04
    2.12145E-01    1.23225E+04
    2.27397E-01    1.41561E+04
    2.43744E-01    1.62622E+04
    2.61268E-01    1.86818E+04
    2.80050E-01    2.14607E+04
    3.00184E-01    2.46531E+04
    3.21764E-01    2.83197E+04
    3.44896E-01    3.25313E+04
    3.69691E-01    3.73687E+04
    3.96269E-01    4.29248E+04
    4.24757E-01    4.93061E+04
    4.55294E-01    5.66352E+04
    4.88025E-01    6.50521E+04
    5.23110E-01    7.47186E+04
    5.60717E-01    8.58195E+04
    6.01028E-01    9.85675E+04
    6.44236E-01    1.13206E+05
    6.90551E-01    1.30015E+05
    7.40196E-01    1.49315E+05
    7.93410E-01    1.71476E+05
    8.50449E-01    1.96918E+05
    9.11589E-01    2.26127E+05
    9.77124E-01    2.59658E+05
    1.04737E+00    2.98149E+05
    1.12267E+00    3.42333E+05
    1.20338E+00    3.93044E+05
    1.28989E+00    4.51241E+05
    1.38262E+00    5.18028E+05
    1.48202E+00    5.94667E+05
    1.58857E+00    6.82605E+05
    1.70277E+00    7.83484E+05
    1.82518E+00    8.99207E+05
    1.95640E+00    1.03195E+06
    2.09705E+00    1.18419E+06
    2.24781E+00    1.35876E+06
    2.40940E+00    1.55891E+06
    2.58262E+00    1.78837E+06
    2.76829E+00    2.05137E+06
    2.96730E+00    2.35276E+06
    3.18063E+00    2.69811E+06
    3.40929E+00    3.09371E+06
    3.65438E+00    3.54678E+06
    3.91710E+00    4.06558E+06
    4.19871E+00    4.65948E+06
    4.50056E+00    5.33915E+06
    4.82411E+00    6.11678E+06
    5.17092E+00    7.00619E+06
    5.54266E+00    8.02312E+06
    5.94113E+00    9.18545E+06
    6.36825E+00    1.05135E+07
    6.82607E+00    1.20301E+07
    7.31681E+00    1.37614E+07
    7.84282E+00    1.57369E+07
    8.40665E+00    1.79897E+07
    9.01102E+00    2.05574E+07
    9.65883E+00    2.34822E+07
    1.03532E+01    2.68116E+07
    1.10975E+01    3.05990E+07
    1.18953E+01    3.49042E+07
    1.27505E+01    3.97942E+07
    1.36672E+01    4.53435E+07
    1.46497E+01    5.16341E+07
    1.57029E+01    5.87591E+07
    1.68318E+01    6.68196E+07
    1.80419E+01    7.59280E+07
    1.93389E+01    8.62060E+07
    2.07292E+01    9.77891E+07
    2.22195E+01    1.10823E+08
    2.38169E+01    1.25465E+08
    2.55291E+01    1.41883E+08
    2.73644E+01    1.60258E+08
    2.93317E+01    1.80781E+08
    3.14404E+01    2.03650E+08
    3.37006E+01    2.29068E+08
    3.61234E+01    2.57245E+08
    3.87204E+01    2.88387E+08
    4.15040E+01    3.22695E+08
    4.44878E+01    3.60359E+08
    4.76861E+01    4.01546E+08
    5.11143E+01    4.46396E+08
